relative_path,label
train/normal/normal_0000.png,0
train/normal/normal_0001.png,0
train/normal/normal_0002.png,0
train/normal/normal_0006.png,0
train/normal/normal_0007.png,0
train/normal/normal_0009.png,0
train/normal/normal_0010.png,0
train/normal/normal_0011.png,0
train/normal/normal_0012.png,0
train/normal/normal_0013.png,0
train/normal/normal_0014.png,0
train/normal/normal_0016.png,0
train/normal/normal_0020.png,0
train/normal/normal_0021.png,0
train/normal/normal_0024.png,0
train/normal/normal_0025.png,0
train/normal/normal_0026.png,0
train/normal/normal_0027.png,0
train/normal/normal_0028.png,0
train/normal/normal_0029.png,0
train/normal/normal_0030.png,0
train/normal/normal_0032.png,0
train/normal/normal_0033.png,0
train/normal/normal_0034.png,0
train/normal/normal_0036.png,0
train/normal/normal_0037.png,0
train/normal/normal_0038.png,0
train/normal/normal_0039.png,0
train/normal/normal_0040.png,0
train/normal/normal_0041.png,0
train/normal/normal_0046.png,0
train/normal/normal_0049.png,0
train/normal/normal_0050.png,0
train/normal/normal_0051.png,0
train/normal/normal_0052.png,0
train/normal/normal_0053.png,0
train/normal/normal_0054.png,0
train/normal/normal_0055.png,0
train/normal/normal_0057.png,0
train/normal/normal_0063.png,0
train/normal/normal_0064.png,0
train/normal/normal_0065.png,0
train/normal/normal_0066.png,0
train/normal/normal_0067.png,0
train/normal/normal_0069.png,0
train/normal/normal_0070.png,0
train/normal/normal_0071.png,0
train/normal/normal_0072.png,0
train/normal/normal_0073.png,0
train/normal/normal_0074.png,0
train/normal/normal_0075.png,0
train/normal/normal_0076.png,0
train/normal/normal_0077.png,0
train/normal/normal_0078.png,0
train/normal/normal_0080.png,0
train/normal/normal_0081.png,0
train/normal/normal_0082.png,0
train/normal/normal_0083.png,0
train/normal/normal_0087.png,0
train/normal/normal_0088.png,0
train/normal/normal_0091.png,0
train/normal/normal_0092.png,0
train/normal/normal_0093.png,0
train/normal/normal_0095.png,0
train/normal/normal_0096.png,0
train/normal/normal_0097.png,0
train/normal/normal_0100.png,0
train/normal/normal_0101.png,0
train/normal/normal_0102.png,0
train/normal/normal_0103.png,0
train/normal/normal_0104.png,0
train/normal/normal_0105.png,0
train/normal/normal_0107.png,0
train/normal/normal_0111.png,0
train/normal/normal_0112.png,0
train/normal/normal_0113.png,0
train/normal/normal_0115.png,0
train/normal/normal_0116.png,0
train/normal/normal_0117.png,0
train/normal/normal_0118.png,0
train/normal/normal_0119.png,0
train/normal/normal_0120.png,0
train/normal/normal_0121.png,0
train/normal/normal_0123.png,0
train/normal/normal_0124.png,0
train/normal/normal_0125.png,0
train/normal/normal_0126.png,0
train/normal/normal_0127.png,0
